,CCA,Harmony,scVI,scANVI,Combat,Scanorama,FastMNN,MIRA_feature,MIRA_topic,BBKNN,CellHint
NMI_cluster/label,0.6811342387442739,0.4051908957082042,0.7067178988011634,0.7833923616447338,0.6779120432694357,0.0736723454791945,0.7054428448448411,0.6482939329401479,0.6195889818434435,0.6332632118833065,0.637927179441011
ARI_cluster/label,0.4259214673702351,0.18460915959817056,0.45410402302773406,0.6047663519425219,0.4433255253381408,0.01662426090936086,0.450404035832827,0.38200270023058985,0.3622266730581626,0.38102479829443237,0.3793113403876818
ASW_label,0.5211009904742241,0.39779555052518845,0.5313216187059879,0.5720541998744011,0.5061803832650185,0.4554100691144952,0.5405525171912238,0.4787487671702531,0.421721569252585,0.5505149699747562,0.5505149699747562
ASW_label/batch,0.76473195304552,0.749944098408538,0.8121227881108825,0.8144141776257198,0.8744869586190637,0.7681087302667342,0.8129031502330865,0.632919111238967,0.4328971238678872,0.8349791583217387,0.8349791583217387
PCR_batch,0.59717656933176,0.9806086676972975,0.7296022806490935,0.6515649824153009,0.9768508186025128,0.36158519267908434,0.5848762519966693,0.31726961755915983,0.2983175532839177,0.3990594754521457,0.3990594754521457
cell_cycle_conservation,0.5289093451196875,0.6299583224819322,0.6432309512933501,0.6042829450105608,0.4539561976486103,0.3370392744797181,0.48226668598374184,0.4173727702929652,0.3747283866982557,0.7244441926518193,0.7244441926518193
isolated_label_F1,0.07960199004975124,0.0963855421686747,0.07729468599033816,0.07881773399014778,0.1875,0.027777777777777776,0.08080808080808081,0.06698564593301436,0.175,0.08121827411167512,0.08121827411167512
isolated_label_silhouette,0.6841371655464172,0.7131995111703873,0.759658932685852,0.7505122423171997,0.661564975976944,0.47277214879850493,0.7546665669288217,0.6139711005107213,0.696159560564235,0.6966696828603745,0.6966696828603745
graph_conn,0.9108615233893291,0.6911982612037761,0.9422753212170099,0.9477868977376092,0.9039953038115219,0.0881727347232947,0.9268349394484554,0.7369693734010028,0.5444754938135301,0.9994197853089373,0.9998709596868016
kBET,0.8362754801588812,0.692610771655827,0.7948242305386386,0.7939822829510274,0.6616301995109615,0.03976692301133111,0.8287984404095812,0.75732297134201,0.6348482245736297,0.7459000842967485,0.7440677107519001
iLISI,0.11064468470615156,0.1343737526492899,0.09931887990291279,0.09130410815220513,0.0842210915439675,0.08968605994484953,0.09891523292716432,0.10286300903932535,0.11131016089755959,0.5022959183673469,0.4412823397075385
cLISI,0.9815070794121905,0.948946118241162,0.9818834378736134,0.991718631907236,0.9794412033595422,0.872623564349886,0.9829254616096414,0.9710166311814074,0.9679921088057024,0.8140568538979667,0.903876997953653
hvg_overlap,,,,,,,,,,,
trajectory,,,,,,,,,,,
